word,pos,definition
alimapapayaw,,alimapapayaw n. gliding flight
alimasag,,"n., zoo. species of crab"
alimbukay,,"alimbukay n. 1. wake of a boat, etc.; waves of the sea; 2. nausea; seasickness"
alimbuyugin,,"n., zoo. coloured (US: colored) rooster with black spots on the wings and black feet"
alimis,,alimis adj. furtive; secret
alimpungat,,alimpungat n. state of being halv awake after sleep
alimpungatan,,n. restless sleep
alimpuso,,alimpuso n. knob of wood; knot
alimpuyo,,"alimpuyo n. whirl of wind, dust, smoke or water; tornado; whirlpool"
alimulon,,alimulon adj. cone-shaped
alimuom,,"alimuom n. vapour (US: vapor) rising from the ground, esp. after raining"
alimura,,alimura n. 1. insulting remarks; 2. rituperation; bitter abuse in words
alimurahin,,"(inaalimura, inalimura, aalimurahin) v., inf. 1. criticise (US: criticize) unkindly; 2. scold very severely; 3. vilify"
alimuwang,,alimuwang n. occultism
alimwang,,alimwang n. occultism
alin,,alin interrog. pron. which
alin man,,alin man interrog. pron. 1. whichever; 2. any; anyone
alinagnag,,alinagnag n. glow of a flame enclosed by glass or paper
alindog,,alindog n. 1. great charm og beauty; 2. kind/indulgent treatment of others
alingaling,,adj. fickle; changeable; inconstant
alingasaw,,n. giving off of an offensive odor; reeking
alingasngas,,alingasngas n. scandal
alingawngaw,,alingawngaw n. 1. echo; repercussion; reverberation; 2. indecision; 3. rumor
alinlangan,,alinlangan 1. n.; 2. adj. 1. doubt; 2. uncertain; doubtful
alinma'y hindi,,alinma'y hindi conj. neither; not either
alinman,,alinman interrog. pron. 1. whichever; 2. any; anyone
alinsangan,,n. sultriness and oppressiveness of weather
alinsunod sa/kay,,prep. 1. in accordance with; 2. under the terms of; 3. in agreement with; 4. pursuant to
alinsunuran,,alinsunuran n. statute; guide for action
alinsunurin,,"alinsunurin (inaalinsunod, inalinsunod, aalinsunurin) v., inf. act in conformity with a law or rule"
alintana,,"adj. considered, noticed or noted in passing"
alintanahin,,"(inaalintana, inalintana, aalintanahin) v., inf. consider or notice in passing"
alintuntunin,,alituntunin n. 1. regulation; 2. principle
alinugnog,,alinugnog n. spinning
alip-ip,,alip-ip 1. n.; 2. adj. 1. anxiety to learn about something; 2. anxious; in suspense
alipala,,alipala adv. suddenly; abruptly; instantly
alipapa,,alipapa 1. adj.; 2. n 1. flat (ref. to roofs); 2. flat roof
aliparo,,"aliparo n., zoo. species of butterfly with yellow wings"
alipato,,n. flying ember
alipin,,n. 1. slave; 2. menial; drudge
alipinin,,"(inaalipin, inalipin, aalipinin) v., inf. 1. treat as a slave; 2. enslave"
alipores,,n. obsequious followers of someone
alipunga,,"alipunga n., med. athlete's foot"
alipunya,,alipunya n. poor servant (usually paying incurred debts)
alipusta,,alipusta 1. n.; 2. adj. 1. taunt; insult; 2. despised bacause of lowly condition
alipustain,,"alipustain (inaalipusta, inalipusta, aalipustain) v., inf. insult"
alipuyo,,"alipuyo n. whirl of wind, dust, smoke or water; tornado; whirlpool; eddy"
alirang,,adj. dehydrated; desiccated
alis,,alis n. departure
alis-is,,alis-is n. oppressive heat (ref. to weather)
alisaga,,alisaga adj. 1. lazy; slothful; 2. random (mat.)
alisagsag,,alisagsag adj. slothful and neglectful
alisan,,"alisan (inaalisan, inalisan, aalisan) v., inf. 1. divest; 2. dismantle; 3. uncover"
alisan ng laman,,"alisan ng laman (inaalisan, inalisan, aalisan (ng laman)) v., inf. unpack; take things out"
alisan ng mana,,"alisan (inaalisan, inalisan, aalisan (ng mana)) v., inf. disinherit"
alisangsang,,alisangsang n. offensive odour (US: odor)
alisin,,"alisin (inaalis, inalis, aalisin) v., inf. 1. remove; 2. take away; 3. omit; 4. dispense with"
alisin sa pagkakaimpake,,"alisin sa pagkakaimpake (inaalis, inalis, aalisin (sa pagkakaimpake)) v., inf. unpack"
alisin sa tungkulin,,"alisin sa tungkulin (inaalis, inalis, aalisin (sa tungkulin)) v., inf. dethrone (coll.); remove from office"
alisis,,alisis n. oppressive heat (ref. to weather)
alisto,,alisto adj. 1. alert; 2. ready; 3. talented; 4. quick
alit,,alit n. 1. quarrel; 2. conflict; 3. tiff; 4. strife
alitan,,alitan n. 1. quarrel; 2. conflict; 3. tiff; 4. strife
alitaptap,,"alitaptap n., zoo. firefly"
alituntunin,,alituntunin n. law; regulation (e.g. traffic rules)
alituntuning-panloob,,alituntuning-panloob n. bylaw
aliw,,aliw n. 1. consolation; comfort; 2. unction
aliw-iw,,n. murmur of flowing water
aliwalas,,"n. 1. brightness, spaciousness; 2. serenity; clearness (weather)"
aliwan,,aliwan n. amusement; diversion; pastime; relaxation
aliwaswas,,aliwaswas n. 1. scandalous anomaly; 2. malicious gossip; 3. extreme disorderliness in behavior
aliwin,,"aliwin (inaaliw, inaliw, aaliwin) v., inf. console; soothe; comfort; solace"
alkaide,,n. warden
alkalay,,alkalay n. lye; soda ash; alkali
alkalde,,n. mayor
alkaldesa,,n. mayoress; lady mayor or wife of the mayor
alkali,,alkali n. lye; soda ash; alkali
alkampor,,alkampor n. camphor
alkampurado,,adj. camphorated
alkansia,,alkansia n. penny-bank; money-box
alkansiya,,alkansiya n. piggy bank; money box
alkansya,,alkansya n. penny-bank; money-box
alkantarilya,,n. culvert; sewer
alkawete,,n. pimp
alkayde,,n. warden; the man in charge of a prison
alkila,,alkila n. hire; rent
alkilahan,,alkilahan n. rental service
alkilahin,,"alkilahin (inaalkila, inalkila, aalkilahin) v., inf. hire; rent; charter"
alkitran,,alkitran n. tar; pitch
alkitranan,,"alkitranan (inaalkitranan, inalkitranan, aalkitranan) v., inf. tar; cover or smear with tar"
alkohol,,alkohol n. alcohol
alkoholik,,1. adj.; 2. n 1. alcoholic; containing alcohol; 2. alcoholic
alkoholiko,,alkoholiko 1. adj.; 2. n 1. alcoholic; containing alcohol; 2. alcoholic
alkoholismo,,n. alcoholism
alma,,alma n. 1. rising on hind legs like horses; 2. rising in protest (people)
almagre,,n. red ochre; red-coloured (US: -colored) earth
almanake,,n. almanac
almasen,,almasen n. department store
almendras,,"n., bot. almond"
almete,,n. helmet
almirante,,n. admiral
almires,,almires n. brass or stone mortar
almirol,,almirol n. starch; laundry starch
almirulan,,"almirulan (inaalmirulan, inalmirulan, aalmirulan) v., inf. stiffen clothes with starch"
almohada,,n. small cushion or pillow
almohadon,,"almohadon n. cushion; soft pillow for a couch, chair, etc."
almoneda,,n. bargain sale
almuhada,,n. small cushion or pillow
almuhadon,,"almuhadon n. cushion; soft pillow for a couch, chair, etc."
almuhasa,,n. currycomb; kind of brush for cleaning horses
almuhasahin,,"(inaalmuhasa, inalmuhasa, aalmuhasahin) v., inf. curry; rub and clean a horse"
almuranas,,n. hemorrhoids
almusal,,almusal n. breakfast
almusalin,,"almusalin (inaalmusal, inalmusal, aalmusalin) v., inf. take for breakfast"
almuwadon,,almuwadon n. cushion
almuwasa,,n. currycomb; kind of brush for cleaning horses
almuwasahin,,"(inaalmuwasa, inalmuwasa, aalmuwasahin) v., inf. curry; rub and clean a horse"
alo,,alo n. 1. something that cheers; 2. substitute for what one cannot get; 3. lullaby
alog,,alog n. shake; jerk; jog
alok,,alok n. offer; bid
alon,,n. wave
aloy,,n. lullaby; craddlesong
alpa,,alpa n. harp
alpabeto,,n. alphabet
alpas,,alpas adj. loose; untied; free
alpasan,,"alpasan (inaalpasan, inalpasan, aalpasan) v., inf. loose; let loose; set free; let go"
alpiler,,alpiler n. pin; decorative pin; brooch; tie pin; scarf pin
alpombra,,n. carpet; floor rug
alpombrahan,,"alpombrahan (inaalpombrahan, inalpombrahan, aalpombrahan) v., inf. cover the floor with a carpet or rug"
alporhas,,n. saddlebag; knapsack
als,,n. wing of a bird; wing of a building
alsa,,alsa n. 1. rising (dough); 2. strong protest; 3. rebellion; 4. tantrums of child; 5. lifting up
alsahin,,"alsahin (inaalsa, inalsa, aalsahin) v., inf. lift or raise up something"
alta,,alta n. altar
alta-presyon,,alta-presyon n. high blood pressure
altapresyon,,altapresyon n. high blood pressure
altar,,altar n. altar
alternatibo,,"n., adj. alternative"
altitud,,altitud n. altitude; height
aluan,,"(inaaluan, inaluan, aaluan) v., inf. sing someone a lullaby"
aluan,,aluan n. rocking craddle
alugbati,,"n., bot. vine (leaves and shoots are used for food)"
alugin,,"alugin (inaalog, inalog, aalugin) v., inf. shake"
aluin,,"(inaalo, inalo, aaluin) v., inf. console, comfort or cheer up"
alukin,,"alukin (inaalok, inalok, aalukin) v., inf. offer someone something"
alulod,,alulod n. 1. rain gutter; spout; 2. downpipe for water
alulong,,alulong n. distant howling or barking of dogs
alulos,,alulos n. current of a river or stream
alulusan,,alulusan n. waterway; riverbed
alumana,,adj. attended to; noticed
alumanahin,,"alumanahin (inaalumana, inalumana, aalumanahin) v., inf. pay attention to; attend to"
alumihit,,alumihit adj. having violent tantrums (children)
alumina,,alumina n. alumina (chemistry)
Aluminum,,n. Aluminium (US: Aluminum) (Al)
aluminyo,,n. aluminium (US: aluminum)
alumna,,n. graduate from school or college
alumnay,,n. male graduate
alumney,,n. female graduate
alumno,,n. graduate from school or college
alumpihit,,alumpihit adj. 1. twisting because of pain or other discomfort; 2. restless
alun-alon,,alun-alon adj. wavy; curly
alunan,,n. channel (electro magnetic)
alunig,,n. loop antenna
aluniging kidkid,,"comp., n. resonance"
alupihan,,"n., zoo. centipede"
alusitha,,alusitha n. 1. affidavit; sworn statement; 2. verification; proof
alusithain,,"alusithain (inaalusitha, inalusitha, aalusithain) v., inf. make a sworn statement; testify"
aluyan,,aluyan n. cradle; hammock; swing
alwagi,,n. carpenter
alwan,,alwan n. 1. easiness; 2. comfort; ease of mind or body
alwanan,,"alwanan (inaalwanan, inalwanan, aalwanan) v., inf. make something ease (e.g. make a work easy)"
alyado,,1. n.; 2. adj. 1. ally; 2. allied
alyansa,,n. alliance
alyas,,alyas n. alias; assumed name
alyen,,n. alien
am,,n. broth made from boiled rice
ama,,"adj., adv. rare; rarely; seldom"
ama,,ama n. 1. father; 2. founder; 3. senior; 4. sire
ama ng tahanan,,"ama ng tahanan comp., n. householder; head of a family"
ama-amahan,,ama-amahan n. foster father
amag,,n. mould (US: mold); mildew
amagin,,"(inaamag, inamag, aamagin) v., inf. 1. be covered with mould (US: mould); 2. be covered with mildew"
amagin,,amagin adj. mouldy (US: moldy); musty
amagong,,"n., bot. shrub (used in making rope, and the root and fruit used as a remedy for venereal disease)"
amain,,amain n. uncle
amak,,adj. tame; domesticated
amak,,amak n. hut in the forest or mountain
amakin,,"(inaamak, inamak, aamakin) v., inf. tame, subdue or domesticate"
amang,,n. 1. boy; 2. elderly man; 3. term for father
amang pangaman,,amang pangaman n. stepfather
amang-panguman,,amang-panguman n. stepfather
amanos,,adj. quits; on even terms after paying a debt
amapola,,"n., bot. 1. poppy; 2. ornamental shrub"
amarilyo,,"n., adj. yellow"
amas,,amas n. grain of gold
amasona,,n. amazon; mannish woman
amatista,,n. amethyst (precious stone)
amatyur,,"amatyur n., adj. amateur"
amba,,amba n. threatening gesture
amba,,amba n. uncle
ambaan,,"ambaan (inaambaan, inambaan, aambaan) v., inf. make threatening gestures"
ambaan,,ambaan n. threatening gestures between two or more
ambag,,ambag n. contribution
ambagan,,"ambagan (inaambagan, inambagan, aambagan) v., inf. give a contribution"
ambagan,,n. contribution by several
ambasador,,ambasador n. ambassador
ambi,,ambi n. 1. eaves; gable-end; 2. awning
ambil,,ambil n. 1. different interpretation from that intended; 2. pet name; 3. repetition of word/expression
ambilan,,"ambilan (inaambilan, inambilan, aambilan) v., inf. 1. give a pet name; 2. interpret an expression on a different way"
ambisiyon,,ambisiyon n. ambition; aspiration
ambisyon,,ambisyon n. ambition; aspiration
ambisyosa,,adj. ambitious
ambisyoso,,adj. ambitious
ambon,,ambon n. shower; drizzle; light rain
ambos,,"ambos 1. adj., 2. n 1. both; both together (in sharing); 2. consolation prize in sweepstakes [coll.]"
ambulansiya,,ambulansiya n. ambulance
ambulog,,n. soaring in flight
ambunin,,"ambunin (inaambun, inambun, aambunin) n. get wet by a drizzle or light rain"
ambus,,n. ambush
ambuwang,,"ambuwang n., zoo. large beetle"
ambwang,,"ambwang n., zoo. large beetle"
amen,,amen n. kissing the hand of elders as a sign of respect
Amen,,Amen! rel. Amen
Amerika,,Amerika n. America
amerikana,,n. coat for men
Amerikana,,"n., adj. American (female)"
Amerikano,,"n., adj. American (male)"
Amerisyum,,n. Americium (Am)
amihan,,n. cool northeast wind
amil,,amil adj. mumbling
amil,,n. mumble; murmur
amilyaramyento,,n. land tax
amin,,pron. our; ours
amina,,amina imp. give it to us!
aming sarili,,pron. ourselves
aminin,,"(inaamin, inamin, aaminin) v., inf. 1. own up; 2. admit; 3. confess"
amiray,,"n., bot. ramie; China grass (used for making fabrics)"
amirol,,amirol n. starch
amirulan ang labada,,"amirulan ang labada (inaamirulan, inamirulan, aamirulan (ang labada)) v., inf. starch clothes"
amis,,amis adj. oppressed; offended
amisin,,"amisin (inaamis, inamis, aamisin) v., inf. oppress or offend, esp. because of spite"
amistad,,amistad n. friendship
amnesya,,"n., med. amnesia"
amnistia,,amnistia n. amnesty
amnistya,,amnistya n. amnesty
amo,,amo n. 1. tameness; 2. coaxing; supplication
amo,,n. master; employer; boss
amok,,amok 1. n.; 2. adj./adv. 1. amok; amuck; 2. in a frenzy state
amol,,"n. dirt or filth on skin, face or surface"
among,,"n., coll. reference to a priest (with respect)"
amonya,,n. ammonia
amor,,amor n. love; affection; esteem
amor-propio,,amor-propio n. self-love
amor-propyo,,amor-propyo n. self-love
amores,,n. 1. love affair; 2. unpleasant odour (US: odor)
amoritis,,n. love-sickness (slang)
amorseko,,"n., bot. burry lovegrass (Eragrostis spectabilis)"
amortisasyon,,amortisasyon n. mortgage installment
amos,,n. dirt on the face
amot,,n. something bought at cost price
amoy,,amoy n. 1. smell; 2. scent; aroma; 3. odour (US: odor)
amoy-amag,,amoy-amag adj. having a musty smell
ampalaya,,"ampalaya n., bot. balsam apple; bitter gourd (Echinocystis lobata)"
ampang,,ampang n. toddle (such as that of infants)
ampat,,"ampat adj. checked; stopped (as bleeding, crying, etc.)"
ampatin,,"ampatin (inaampat, inampat, aampatin) v., inf. stop; check; dam up"
ampaw,,ampaw n. puffed rice or corn
ampayer,,n. umpire
ampayr,,n. umpire
ampias,,"n. rain entering through open windows, doors or cracked walls"
ampibyan,,"n., adj., zoo. amphibian"
ampil,,ampil n. dividing wall (in a house)
ampiteatro,,n. amphitheatre
ampiyas,,"n. rain entering through open windows, doors or cracked walls"
ampiyon,,ampiyon n. opium
amplipayer,,n. amplifier
ampolyas,,n. ampule used as container for medicine to be injected
ampon,,ampon n. adopted child
ampunan,,n. orphanage; orphan asylum
ampunin,,"(inaampon, inampon, aampunin) v., inf. 1. adopt; 2. protect"
amputasyon,,amputasyon n. amputation
ampyon,,ampyon n. opium
amu-amuin,,"(inaamu-amo, inamu-amo, aamu-amuin) v., inf. coax gently and repeatedly"
amuin,,"(inaamo, inamo, aamuin) v., inf. coax"
amuk,,amuk 1. n.; 2. adj./adv. 1. amok; amuck; 2. in a frenzy state
amuki,,amuki n. inducement; persuasion; urging
amukiin,,"(inaamuki, inamuki, aamukiin) v., inf. 1. induce; persuade; 2. advise; counsel"
amusal,,amusal n. breakfast
amusin,,amusin adj. always having a dirty face
amutin,,"(inaamot, inamot, aamutin) v., inf. try to buy something at cost price"
amuyan,,"amuyan (inaamuyan, inamuyan, aamuyan) v., inf. 1. smell; get the scent of; 2. nose about [fig.]; pry into"
amuyin,,"amuyin (inaamoy, inamoy, aamuyin) v., inf. snuff; sniff; smell"
an-an,,n. white spots on the skin; acne
anabyong,,"anabyong n., bot. small tree (used in manufacturing wooden shoes)"
anag-ag,,anag-ag n. 1. glimmer; faint light; 2. [fig.] vague idea
anahaw,,"n., bot. palm (kind of)"
anak,,"anak n. 1. child; 2. progeny; 3. son (man attached to a country, cause, etc.)"
anak,,n. relative; family; lineage; kin
anak na ampon,,"anak na ampon comp., n. adopted child"
anak na babae,,"anak na babae comp., n. daughter"
anak na bugtong,,"anak na bugtong comp., n. an only child"
anak na bunso,,"anak na bunso comp., n. youngest child"
anak na lalaki,,"anak na lalaki comp., n. son"
anak na pangaman,,"anak na pangaman comp., n. stepchild"
anak na panganay,,"anak na panganay comp., n. first-born child"
anak na panguman,,"anak na panguman comp., n. stepchild"
anak sa labas,,anak sa labas comp. bastard; child whose parents are not married
